Num,Tipo,Voce,Cat,Italiano,Et_Audio
88,locuzione,agra (la è -),es,"è dura, è triste",agra (la e -)
89,lemma,agràm,sm,gramigna; anche: gràm; gramegna,agram
90,lemma,agratis,avv,"gratis, per niente - anche: gratis",agratis
91,lemma,agravàr,vb,"aggravare, accentuare",agravar
92,lemma,agravarse,vb,"aggravarsi, accrescere",agravarse
93,lemma,agravi,sm,"aggravio, aggiunta, peso, in più",agravi
94,lemma,agredìr,vb,aggredire,agredir
95,lemma,agresión,sf,"aggressione, assalto, scippo",agresion
96,lemma,agresór,sm,"aggressore, assalitore",agresor
97,lemma,agro,agg,"1. agro, acidulo, acerbo; 2. stanco, annoiato",agro
98,locuzione,agro e stomegà,loc,"arcistufa, più che stufa, nauseata",agro e stomega
99,lemma,agrodólz,agg,agrodolce,agrodolz
100,lemma,aguana,sf,"strega, maga",aguana
101,lemma,aguèi,sm,"ago, pungiglione - anche: aguèl",aguei
102,lemma,aì,avv,sì,ai
103,lemma,ài,sm,aglio,ai
104,locuzione,ài (na costa de –),loc,uno spicchio di aglio,ai (na costa de –)
105,lemma,àida,sm,aiuto,aida
106,lemma,aidàr,vb,aiutare,aidar
107,lemma,aìdeme valà,es,"aiutami orsù, aiutami ti prego",aideme vala
108,lemma,aiéri,avv,ieri - anche: algeri,aieri
109,lemma,aiòle,sfpl,aiuòle,aiole
110,lemma,aisbèrg,sm,iceberg,aisberg
111,lemma,aiùt,sm,aiuto,aiut
112,lemma,aiutàr,vb,aiutare,aiutar
113,lemma,aizimpóner,sm,operaio che andava a far lavori ferroviari - anche: aisenpóner,aizimponer
114,lemma,ala,sf,1. ala degli uccelli; 2. tesa del cappello,ala
115,lemma,alber,sm,albero,alber
116,lemma,àlbera,sf,pioppo - anche: àrbola,albera
117,lemma,albeżàr,vb,"albeggiare, spuntar dell'alba",albezar
118,lemma,albi (sm),sm,truogolo dove mangiano e bevono i maiali,albi (sm)
119,lemma,àlbitro,sm,arbitro,albitro
120,lemma,alborèla,sf,fungo: Boletus rufus,alborela
121,lemma,aldelà,sm,"al di là, oltre la morte",aldela
122,lemma,aldelà,sf,"aldilà, eternità, oltretomba",aldela
123,lemma,aleghér,agg,"allegro, contento, piacevole",alegher
124,lemma,alegrìa,sf,"allegria, felicità",alegria
125,lemma,alégro,agg,"1. allegro, lieto; 2. alticcio, brillo",alegro
126,lemma,alegrón,sm,"allegrone, mattacchione",alegron
127,lemma,alenarse,vb,"allenarsi, esercitarsi, far pratica",alenarse
128,lemma,alenatór,sm,"allenatore, istruttore",alenator
129,lemma,alevàr,sm,"alveare, apiario",alevar
130,lemma,alfìn,avv,"alfine, finalmente",alfin
131,lemma,algéri,avv,ieri - anche: aiéri,algeri
132,lemma,algéri de matina,es,"ieri mattina, al mattino di ieri",algeri de matina
