Num,Tipo,Voce,Cat,Italiano,Et_Audio
226,locuzione,ànima (la bòn'– de me nono),loc,"la buona anima di mio nonno, ricordare con affetto il nonno morto",anima (la bon'– de me nono)
227,locuzione,ànima (secàr l'–),loc,"infastidire, tormentare, dar fastidio, rompere le scatole",anima (secar l'–)
228,lemma,animàr,vb,"animare, stimolare, vivacizzare, allietare",animar
229,lemma,animèla,sf,"lucignolo di cera che si collocano nei lumini a olio, luminello",animela
230,lemma,ansàr,vb,"ansare, ansimare, respirare con affanno",ansar
231,lemma,ansiós,agg,"ansioso, agitato, inquieto",ansios
232,lemma,anta,sf,porta dell’armadio,anta
233,lemma,antana,sf,"solaio, soffitta, sottotetto - anche: altana",antana
234,lemma,antìch,agg,"antico, antiquato, preistorico",antich
235,lemma,antiveżìlia,sf,"antivigilia, giorno prima della vigilia",antivezilia
236,lemma,anuari,sm,"annuario, pubblicazione annuale",anuari
237,lemma,anunziàr,vb,annunciare - anche: nunziar,anunziar
238,lemma,anża,sf,"serpe, saettone - anche: lanza",anza
239,lemma,anziàn,agg,"anziano, attempato, senile, esperto",anzian
240,lemma,anziàna,sf,genziana (fiore),anziana
241,locuzione,anziàna (radìs de –),es,radice di genziana,anziana (radis de –)
242,lemma,anzianòt,agg,"anzianotto, attempato",anzianot
243,locuzione,ànżoi (nar via cói –),loc,"addormentarsi beatamente, essere distratto",anzoi (nar via coi –)
244,lemma,anżol,sm,"angelo, creatura celeste",anzol
245,lemma,anżolét,sm,"angioletto, coscienza - anche: anżolìn",anzolet
246,lemma,ào,sm,"trisavolo, antenato, avo",ao
247,lemma,àola,sf,"sardina, sardella, pesce piccolo di lago",aola
248,lemma,àole,smpl,"sardelle, sarde salate",aole
249,lemma,aonèla,sf,pianta di ontano a basso fusto,aonela
250,lemma,àono,sm,ontano,aono
251,lemma,àoo!,escl,voce per fermare i buoi in marcia,aoo!
252,lemma,apartamént,sm,"appartamento, quartiere.",apartament
253,lemma,apéna,avv,"appena, soltanto, a stento",apena
254,lemma,apòsta,avv,"apposta, volutamente",aposta
255,lemma,après,avv,"in aggiunta, insieme come allegato, assieme con",apres
256,lemma,aprìl,sm,aprile,april
257,lemma,aprilante,sm,giorno di aprile,aprilante
258,lemma,aqua,sf,acqua,aqua
259,locuzione,aqua de melìsia,loc,acqua o spirito di melissa,aqua de melisia
260,locuzione,aqua de védro,loc,silicato di sodio; usata per conservare le uova,aqua de vedro
261,locuzione,aqua e mistrà,loc,liquore fatto con i frutti di anice - anche: mistrà,aqua e mistra
262,lemma,aquaraṡa,sf,"acquaragia, essenza di trementina",aquarasa
263,lemma,aquaròl,sm,"secondo vino, vinello, vino annacquato",aquarol
264,lemma,aquaròla,sf,ciliegia di montagna - fig. acquolina in bocca,aquarola
265,lemma,aquasandéra,sf,"acquasantiera, nelle chiese",aquasandera
266,lemma,aquasantèl,sm,"acquasantiera, pila dell'acqua benedetta (anche presso il letto); anche: aquasandèl",aquasantel
267,lemma,aquàz,sm,"guazza, rugiada, brina",aquaz
268,lemma,aquiṡìr,vb,"acquisire, conseguire",aquisir
269,lemma,aquiṡizión,sf,"acquisizione, ottenimento",aquisizion
270,lemma,aquìst,sm,"acquisto, vantaggio",aquist
271,lemma,aquistàr,vb,"acquistare, comperare - anche: cromprar, comprar, proveder",aquistar
272,lemma,aquós,agg,"acquoso, acqueo",aquos
273,lemma,ara,sf,"aia (rurale), stanzone all’entrata della casa",ara
274,lemma,aràdio,sf,radio,aradio
275,lemma,aràr,vb,arare,arar
276,lemma,aratìf,sm,"seminativo, terreno lavorato",aratif
277,lemma,aràz,sm,arazzo,araz
278,lemma,arbandón,sm,"abbandono, incuria, trasandatezza",arbandon
279,locuzione,arbandón (a l’–),loc,lasciato a se stesso,arbandon (a l’–)
280,lemma,arbandonàr,vb,"abbandonare, lasciar perdere, ritirarsi",arbandonar
281,lemma,arbasamént,sm,"abbassamento, cedimento, calo, avvallamento, sprofondamento",arbasament
282,lemma,arbasàr,vb,"abbassare, ribassare, calare, ridurre - anche: sbasàr",arbasar
283,lemma,arbol,sm,"albero, pianta",arbol
284,lemma,arborèla,sf,pioppo,arborela
285,lemma,arcada,sf,"arcata, volta",arcada
286,lemma,archét,sm,"archetto, trappola per acchiappare uccelletti. Frase: ciapà en tel archet",archet
287,lemma,archìvi,sm,"archivio, registro",archivi
288,lemma,arcoàr,vb,"ammannare (far le manne), raccogliere il frumento da poter legare in covoni",arcoar
289,lemma,àrder,vb,"ardere, bruciare",arder
290,lemma,ardimént,sm,"ardimento, audacia, coraggio, baldanza",ardiment
291,lemma,aredèla,sf,graticcio piccolo di canne o paglia,aredela
